Y,7200175
Y,3140203
Y,2410319
Y,2205250
Y,4910040
Y,4990246
Y,6160336
Y,9230016
Y,2865030
Y,2840055
Y,5445033
Y,2615630
Y,9230112
Y,4540412
Y,2640051
Y,4970091
Y,8950253
Y,7800199
Y,4860336
Y,4990580
Y,3660043
Y,7800740
Y,7780089
Y,2300255
Y,7520406
Y,7555228
Y,3660068
Y,3250177
Y,2600818
Y,5300473
Y,6100883
Y,5340091
Y,7800086
Y,5060282
Y,4550597
Y,4730591
Y,7570661
Y,5200541
Y,4970310
Y,3350107
Y,2205211
Y,4990306
Y,3360135
Y,5340141
Y,3040787
Y,3105009
Y,8550041
Y,5300802
Y,7300290
Y,5030410
Y,3840571
Y,3105427
Y,3570150
Y,3640043
Y,9350055
Y,9240118
Y,3330238
Y,9960474
Y,3260359
Y,3465102
Y,4950089
Y,4950327
Y,4540033
Y,2240042
Y,4690435
Y,6120664
Y,5085217
Y,8005510
Y,3105319
Y,7040203
Y,6160518
Y,3240583
Y,7200031
Y,7250270
Y,4970322
Y,4970168
Y,8100033
Y,6110113
Y,5320084
Y,7570410
Y,5300411
Y,2460362
Y,3320391
Y,4540206
Y,7330308
Y,3320151
Y,5000376
Y,6160577
Y,3250371
Y,4890564
Y,7800341
Y,7040269
Y,6320282
Y,3040690
Y,2000341
Y,2230835
Y,8600078
Y,2090201
Y,3230245
Y,3200386
Y,7150309
Y,7630574
Y,5100677
Y,5340081
Y,2500764
Y,6300151
Y,3100356
Y,4550748
Y,3200103
Y,2300094
Y,4980016
Y,2820512
Y,7630085
Y,6120035
Y,6100662
Y,7570109
Y,2525351
Y,3750989
Y,4870219
Y,8670140
Y,5120143
Y,3600623
Y,9580318
Y,3420421
Y,9240038
Y,2100054
Y,6150327
Y,4880194
Y,4980524
Y,4980792
Y,3550074
Y,7520432
Y,3770031
Y,3720471
Y,4540179
Y,2480098
Y,6420671
Y,8550325
Y,3740011
Y,4820405
Y,2975161
Y,4540575
Y,4850283
Y,2550367
Y,1750380
Y,9230999
Y,3200077
Y,2305426
Y,4970770
Y,2100675
Y,2540397
Y,2125365
Y,9880393
Y,4540449
Y,9850212
Y,6300245
Y,4960252
Y,4600530
Y,3850533
Y,5000105
Y,4690547
Y,2100625
Y,8300038
Y,4690712
Y,3060819
Y,6100034
Y,3320015
Y,3430412
Y,6360182
Y,4890101
Y,3100068
Y,4660207
Y,7470068
Y,3420070
Y,6100866
Y,5120441
Y,7050047
Y,2350203
Y,4960078
Y,5425013
Y,4860411
Y,4930371
Y,2810438
Y,3130534
Y,2070371
Y,4950100
Y,3420997
Y,6100064
Y,3350076
Y,2530459
Y,2665183
Y,3130044
Y,2435173
Y,5400727
Y,2305177
Y,4825221
Y,8950276
Y,3700892
Y,3530073
Y,9760460
Y,7340152
Y,4540376
Y,2000548
Y,4550073
Y,3670176
Y,8900042
Y,2565201
Y,3660418
Y,4920042
Y,3640150
Y,6100013
Y,2560178
Y,8100365
Y,3680263
Y,3850484
Y,8375214
Y,4550413
Y,5060056
Y,8100050
Y,3250280
Y,4970523
Y,6150713
Y,5060283
Y,4940103
Y,3130523
Y,4930283
Y,9200118
Y,2200477
Y,7400502
Y,4950095
Y,4970373
Y,5130141
Y,2305221
Y,5100445
Y,7150312
Y,4960357
Y,4520310
Y,3720444
Y,3250203
Y,7570332
Y,7645057
Y,3260054
Y,4540674
Y,5100872
Y,5030321
Y,4690287
Y,4650714
Y,4880303
Y,9270125
Y,7780405
Y,6100327
Y,6100890
Y,5300741
Y,3105320
Y,6100865
Y,3840127
Y,3550223
Y,3270215
Y,4860276
Y,6185204
Y,7885226
Y,6400069
Y,5150145
Y,2100015
Y,4930342
Y,4550025
Y,7500047
Y,3060502
Y,3850355
Y,4970691
Y,4620385
Y,4615026
Y,3750752
Y,8950182
Y,9675044
Y,7875104
Y,2025499
Y,2640602
Y,3420164
Y,8400270
Y,3430143
Y,3240217
Y,8400490
Y,6160523
Y,2565836
Y,3660642
Y,9700370
Y,8800026
Y,7830304
Y,7520089
Y,5050324
Y,2740268
Y,4635339
Y,4930601
Y,2240139
Y,4690429
Y,3100829
Y,2440201
Y,4690179
Y,4970236
Y,8550253
Y,3850573
Y,3600507
Y,3200303
Y,2200698
Y,2780280
Y,3260325
Y,3240564
Y,2425622
Y,3750042
Y,7750042
Y,3090496
Y,2460790
Y,7160354
Y,4690889
Y,4950783
Y,4550332
Y,3750378
Y,3720177
Y,8100029
Y,7600301
Y,3200090
Y,3450337
