ID13430  1     |~BADKEY~                                                
VN     KN1     |~BADKEY~                                                
ID12110  2     |~BADKEY~                                                
TH10220  2     |~BADKEY~                                                
TH50000  2     |~BADKEY~                                                
ID     BL2     |~BADKEY~                                                
ID     CT2     |~BADKEY~                                                
ID     KB2     |~BADKEY~                                                
ID     TB2     |~BADKEY~                                                
ID11730  2     |~BADKEY~                                                
ID16820  2     |~BADKEY~                                                
VN     NN1     |~BADKEY~                                                
ID     PS2     |~BADKEY~                                                
ID     SD2     |~BADKEY~                                                
ID13430  2     |~BADKEY~                                                
ID     SP2     |~BADKEY~                                                
TH10100  2     |~BADKEY~                                                
TH107001 2     |~BADKEY~                                                
TH12130  2     |~BADKEY~                                                
TH34000  2     |~BADKEY~                                                
TH104004 2     |~BADKEY~                                                
ID14110  2     |~BADKEY~                                                
         2     |~BADKEY~                                                
ID     GD2     |~BADKEY~                                                
ID11730  1     |~BADKEY~                                                
VN     "N1     |~BADKEY~                                                
VN     "D1     |~BADKEY~                                                
VN     TH2     |~BADKEY~                                                
ID     DL2     |~BADKEY~                                                
ID13310  2     |~BADKEY~                                                
TH90110  2     |~BADKEY~                                                
ID     JN2     |~BADKEY~                                                
ID60241  2     |~BADKEY~                                                
VN     7 2     |~BADKEY~                                                
VN     L 1     |~BADKEY~                                                
ID     BM2     |~BADKEY~                                                
ID     MK2     |~BADKEY~                                                
ID     PM2     |~BADKEY~                                                
ID     RT2     |~BADKEY~                                                
ID11440  1     |~BADKEY~                                                
ID14310  2     |~BADKEY~                                                
TH105401 2     |~BADKEY~                                                
VN     HN2     |~BADKEY~                                                
VN     QN2     |~BADKEY~                                                
VN     SN1     |~BADKEY~                                                
       PN2     |~BADKEY~                                                
ID     CP2     |~BADKEY~                                                
ID     MD2     |~BADKEY~                                                
ID16911  2     |~BADKEY~                                                
ID17111  2     |~BADKEY~                                                
ID28291  2     |~BADKEY~                                                
ID61256  2     |~BADKEY~                                                
ID17530  2     |~BADKEY~                                                
VN     HP2     |~BADKEY~                                                
