LARGO LARGO	LARGO
QUINTA QUINTA	QUINTA
RUA RUA	RUA
SN SN	S/N
S/N S/N	S/N
S/ Nº	S/N
S/ N	S/N
S/ NRO	S/N
S/ NUM	S/N
S/NRO	S/N
S/NUM	S/N
BAIRRO BAIRRO	BAIRRO
ESTRADA ESTRADA	ESTRADA
AVENIDA AVENIDA	AVENIDA
TRAVESSA TRAVESSA	TRAVESSA
0/0/0	
000 0000	2
000 1	
0000	
0000 0	
0000 00	
0000 000	
0000 0000	
0000 00000	
00000	
00000 000	
00000 0000	
00000 00000	
000000	
000000 0000	
000000 00000	
00 00	
0 0	
R /C	R/C
