DE21244        |~BADKEY~                                                
DE32791        |~BADKEY~                                                
DE47169        |~BADKEY~                                                
DE51375        |~BADKEY~                                                
DE54294        |~BADKEY~                                                
DE60596        |~BADKEY~                                                
DE73760        |~BADKEY~                                                
DE99817        |~BADKEY~                                                
DE01259        |~BADKEY~                                                
DE04668        |~BADKEY~                                                
DE14542        |~BADKEY~                                                
DE57074        |~BADKEY~                                                
DE99085        |~BADKEY~                                                
DE01067        |~BADKEY~                                                
DE07548        |~BADKEY~                                                
DE13187        |~BADKEY~                                                
DE22549        |~BADKEY~                                                
DE34123        |~BADKEY~                                                
DE41542        |~BADKEY~                                                
DE48154        |~BADKEY~                                                
DE70499        |~BADKEY~                                                
DE80469        |~BADKEY~                                                
DE90449        |~BADKEY~                                                
DE12167        |~BADKEY~                                                
DE17192        |~BADKEY~                                                
DE30163        |~BADKEY~                                                
DE31303        |~BADKEY~                                                
DE41469        |~BADKEY~                                                
DE45144        |~BADKEY~                                                
DE58089        |~BADKEY~                                                
DE60327        |~BADKEY~                                                
DE61169        |~BADKEY~                                                
DE65197        |~BADKEY~                                                
DE10243KP      |~BADKEY~                                                
DE10829        |~BADKEY~                                                
DE13595        |~BADKEY~                                                
DE22303        |~BADKEY~                                                
DE28325        |~BADKEY~                                                
DE40489        |~BADKEY~                                                
DE42289        |~BADKEY~                                                
DE44287        |~BADKEY~                                                
DE52511        |~BADKEY~                                                
DE70469        |~BADKEY~                                                
DE85435        |~BADKEY~                                                
DE86154        |~BADKEY~                                                
DE0431         |~BADKEY~                                                
DE09130        |~BADKEY~                                                
DE10967        |~BADKEY~                                                
DE12307        |~BADKEY~                                                
DE12359        |~BADKEY~                                                
DE14163        |~BADKEY~                                                
DE20539AM33    |~BADKEY~                                                
DE26121        |~BADKEY~                                                
DE38112        |~BADKEY~                                                
DE42657        |~BADKEY~                                                
DE53123        |~BADKEY~                                                
DE59423        |~BADKEY~                                                
DE70376        |~BADKEY~                                                
DE80799        |~BADKEY~                                                
DE86152        |~BADKEY~                                                
DE99089        |~BADKEY~                                                
DE21079        |~BADKEY~                                                
DE39326        |~BADKEY~                                                
DE48165        |~BADKEY~                                                
DE49716        |~BADKEY~                                                
DE55278        |~BADKEY~                                                
DE56567HR      |~BADKEY~                                                
DE60329        |~BADKEY~                                                
DE90473        |~BADKEY~                                                
DE01744AM43    |~BADKEY~                                                
DE10629        |~BADKEY~                                                
DE23568        |~BADKEY~                                                
DE47608        |~BADKEY~                                                
DE51107        |~BADKEY~                                                
DE52074        |~BADKEY~                                                
DE56567BN      |~BADKEY~                                                
DE80686        |~BADKEY~                                                
DE94469        |~BADKEY~                                                
DE97084        |~BADKEY~                                                
DE10719        |~BADKEY~                                                
DE13409        |~BADKEY~                                                
DE26409        |~BADKEY~                                                
DE30173        |~BADKEY~                                                
DE44227        |~BADKEY~                                                
DE45894        |~BADKEY~                                                
DE65795        |~BADKEY~                                                
DE80992        |~BADKEY~                                                
DE10707        |~BADKEY~                                                
DE20539        |~BADKEY~                                                
DE28832        |~BADKEY~                                                
DE33689        |~BADKEY~                                                
DE47179        |~BADKEY~                                                
DE59302        |~BADKEY~                                                
DE80804        |~BADKEY~                                                
DE81375        |~BADKEY~                                                
DE90480        |~BADKEY~                                                
DE12623        |~BADKEY~                                                
DE22145        |~BADKEY~                                                
DE24116        |~BADKEY~                                                
DE36039        |~BADKEY~                                                
DE44339        |~BADKEY~                                                
DE46240        |~BADKEY~                                                
DE51067        |~BADKEY~                                                
DE52068        |~BADKEY~                                                
DE53604        |~BADKEY~                                                
DE53909        |~BADKEY~                                                
DE58675        |~BADKEY~                                                
DE60388        |~BADKEY~                                                
DE69168        |~BADKEY~                                                
DE84130        |~BADKEY~                                                
DE01277        |~BADKEY~                                                
DE31224        |~BADKEY~                                                
DE47809        |~BADKEY~                                                
DE47829        |~BADKEY~                                                
DE53175        |~BADKEY~                                                
DE64285        |~BADKEY~                                                
DE90513        |~BADKEY~                                                
DE92224        |~BADKEY~                                                
DE13507        |~BADKEY~                                                
DE28307        |~BADKEY~                                                
DE32469        |~BADKEY~                                                
DE38444        |~BADKEY~                                                
DE45355        |~BADKEY~                                                
DE48147SB78    |~BADKEY~                                                
DE53859        |~BADKEY~                                                
DE53881        |~BADKEY~                                                
DE54290        |~BADKEY~                                                
DE80634        |~BADKEY~                                                
DE80995        |~BADKEY~                                                
DE10787LC3     |~BADKEY~                                                
DE35043        |~BADKEY~                                                
DE44225        |~BADKEY~                                                
DE45131        |~BADKEY~                                                
DE50169        |~BADKEY~                                                
DE64546        |~BADKEY~                                                
DE80337        |~BADKEY~                                                
DE16321        |~BADKEY~                                                
DE18057        |~BADKEY~                                                
DE24111        |~BADKEY~                                                
DE37688        |~BADKEY~                                                
DE38448        |~BADKEY~                                                
DE41748        |~BADKEY~                                                
DE44141        |~BADKEY~                                                
DE80638        |~BADKEY~                                                
DE10965        |~BADKEY~                                                
DE12621        |~BADKEY~                                                
DE14195        |~BADKEY~                                                
DE14712        |~BADKEY~                                                
DE21129        |~BADKEY~                                                
DE28197        |~BADKEY~                                                
DE28719        |~BADKEY~                                                
DE37154        |~BADKEY~                                                
DE41334        |~BADKEY~                                                
DE45134        |~BADKEY~                                                
DE46147        |~BADKEY~                                                
DE46397        |~BADKEY~                                                
DE55116        |~BADKEY~                                                
DE55758        |~BADKEY~                                                
DE59494        |~BADKEY~                                                
DE64291        |~BADKEY~                                                
DE73312        |~BADKEY~                                                
DE90443        |~BADKEY~                                                
DE10365        |~BADKEY~                                                
DE30880        |~BADKEY~                                                
DE64319        |~BADKEY~                                                
DE86167        |~BADKEY~                                                
DE87687        |~BADKEY~                                                
DE90402        |~BADKEY~                                                
DE13589        |~BADKEY~                                                
DE33104        |~BADKEY~                                                
DE34497        |~BADKEY~                                                
DE45257        |~BADKEY~                                                
DE48145        |~BADKEY~                                                
DE50226        |~BADKEY~                                                
DE52499        |~BADKEY~                                                
DE80999        |~BADKEY~                                                
DE81737        |~BADKEY~                                                
DE99310        |~BADKEY~                                                
DE12209        |~BADKEY~                                                
DE45279        |~BADKEY~                                                
DE45327        |~BADKEY~                                                
DE48147HM34    |~BADKEY~                                                
