"PLJ"	"PLAJA"
"PNA"	"PIANA"
"PNDC"	"PENDICE"
"PNE"	"PIANE"
"PNI"	"PIANI"
"PNN"	"PENNINO"
"PNTA"	"PINETA"
"PNTL"	"PONTILE"
"POD"	"PODERE"
"POGG"	"POGGIO"
"PORR"	"PORRU"
"PPR"	"PROPRIET"
"PRCO"	"PARCO"
"PRIV"	"PRIVATA"
"PRLL"	"PARALLELA"
"PRLO"	"PORTICCIOLO"
"PROL"	"PROLUNGAMENTO"
"PRTA"	"PORTA"
"PRTO"	"PORTO"
"PSGO"	"PASSEGGIO"
"PSGT"	"PASSEGGIATA"
"PSO"	"PASSO"
"PSST"	"PASSETTO"
"PTCI"	"PORTICI"
"PTCO"	"PORTICO"
"PTE"	"PONTE"
"PTTA"	"PIAZZETTA"
"PZLA"	"PIAZZUOLA"
"PZLE"	"PIAZZALE"
"PZO"	"POZZO"
"PZOL"	"PIAZZOLA"
"PZTE"	"PIAZZETTE"
"PZZA"	"PIAZZA"
"QUAD"	"QUADRATO"
"QUAR"	"QUARTIERE"
"QUDV"	"QUADRIVIO"
"RACC"	"RACCORDO"
"RAMP"	"RAMPA"
"RCIN"	"RECINTO"
"REG"	"REGIONE"
"RGT"	"RUGHETTA"
"RIGA"	"RIGASTE"
"RIOT"	"RIO TERA"
"RIPR"	"RIPARTO"
"RITR"	"RITIRO"
"RMPE"	"RAMPE"
"RNE"	"RIONE"
"RONC"	"RONCO"
"RSZA"	"RESIDENZA"
"RTLO"	"RETTIFILO"
"RTND"	"ROTONDA"
"RURL"	"RURALE"
"RVRA"	"RIVIERA"
"SAIN"	"SALITA INFERIORE"
"SAL"	"SALITA"
"SALN"	"SALITA NUOVA"
"SALS"	"SALITA SUPERIORE"
"SALV"	"SALITA VECCHIA"
"SAZZ"	"SALIZZADA"
"SBAR"	"SBARCATOIO"
"SBR"	"SBARRATOIO"
"SCCA"	"SACCA"
"SCCO"	"SECCO"
"SCES"	"SCESA"
"SCLA"	"SCALA"
"SCLE"	"SCALE"
"SCLI"	"SCALI"
"SCLO"	"SCALO"
"SCNE"	"SCALONE"
"SCNI"	"SCALINI"
"SCTA"	"SCALINATA"
"SDRU"	"SDRUCCIOLO"
"SELC"	"SELCIATO"
"SENT"	"SENTIERO"
