US     MN      |~BADKEY~                                                
US95370        |~BADKEY~                                                
US95501        |~BADKEY~                                                
US97439        |~BADKEY~                                                
US98405        |~BADKEY~                                                
US99515        |~BADKEY~                                                
US00000ATD     |~BADKEY~                                                
US00716        |~BADKEY~                                                
US02745        |~BADKEY~                                                
US03301        |~BADKEY~                                                
US03743        |~BADKEY~                                                
US07067        |~BADKEY~                                                
US11219        |~BADKEY~                                                
US11239        |~BADKEY~                                                
US12538        |~BADKEY~                                                
US19067        |~BADKEY~                                                
US20902        |~BADKEY~                                                
US22553        |~BADKEY~                                                
US22601        |~BADKEY~                                                
US26003        |~BADKEY~                                                
US27408        |~BADKEY~                                                
US28016        |~BADKEY~                                                
US28037        |~BADKEY~                                                
US28786        |~BADKEY~                                                
US29161        |~BADKEY~                                                
US30815        |~BADKEY~                                                
US32046        |~BADKEY~                                                
US32073        |~BADKEY~                                                
US32779        |~BADKEY~                                                
US33125        |~BADKEY~                                                
US33418        |~BADKEY~                                                
US33756        |~BADKEY~                                                
US34714        |~BADKEY~                                                
US36535        |~BADKEY~                                                
US36853        |~BADKEY~                                                
US37160        |~BADKEY~                                                
US38701        |~BADKEY~                                                
US39046        |~BADKEY~                                                
US40047        |~BADKEY~                                                
US40508        |~BADKEY~                                                
US44707        |~BADKEY~                                                
US45629        |~BADKEY~                                                
US46123        |~BADKEY~                                                
US47001        |~BADKEY~                                                
US48103        |~BADKEY~                                                
US53965        |~BADKEY~                                                
US56508        |~BADKEY~                                                
US59808        |~BADKEY~                                                
US60120        |~BADKEY~                                                
US60133        |~BADKEY~                                                
US60605        |~BADKEY~                                                
US63043        |~BADKEY~                                                
US64106        |~BADKEY~                                                
US64119        |~BADKEY~                                                
US71854        |~BADKEY~                                                
US75089        |~BADKEY~                                                
US75227        |~BADKEY~                                                
US75652        |~BADKEY~                                                
US77578        |~BADKEY~                                                
US78210        |~BADKEY~                                                
US78801        |~BADKEY~                                                
US83647        |~BADKEY~                                                
US84601        |~BADKEY~                                                
