US     MN      |~BADKEY~                                                
US89523        |~BADKEY~                                                
US91405        |~BADKEY~                                                
US92344        |~BADKEY~                                                
US92530        |~BADKEY~                                                
US93230        |~BADKEY~                                                
US93306        |~BADKEY~                                                
US93422        |~BADKEY~                                                
US95062        |~BADKEY~                                                
US97206        |~BADKEY~                                                
US     AV      |~BADKEY~                                                
US02131        |~BADKEY~                                                
US02215        |~BADKEY~                                                
US02324        |~BADKEY~                                                
US08046        |~BADKEY~                                                
US11414        |~BADKEY~                                                
US12020        |~BADKEY~                                                
US16504        |~BADKEY~                                                
US23452        |~BADKEY~                                                
US23831        |~BADKEY~                                                
US28031        |~BADKEY~                                                
US28544        |~BADKEY~                                                
US29279        |~BADKEY~                                                
US29349        |~BADKEY~                                                
US29611        |~BADKEY~                                                
US30341        |~BADKEY~                                                
US32254        |~BADKEY~                                                
US32578        |~BADKEY~                                                
US32746        |~BADKEY~                                                
US32812        |~BADKEY~                                                
US33145        |~BADKEY~                                                
US331861TH13   |~BADKEY~                                                
US33319        |~BADKEY~                                                
US33405        |~BADKEY~                                                
US33759        |~BADKEY~                                                
US34711        |~BADKEY~                                                
US34785        |~BADKEY~                                                
US35670        |~BADKEY~                                                
US36116        |~BADKEY~                                                
US36613        |~BADKEY~                                                
US37763        |~BADKEY~                                                
US38375        |~BADKEY~                                                
US45014        |~BADKEY~                                                
US46567        |~BADKEY~                                                
US48044        |~BADKEY~                                                
US48346        |~BADKEY~                                                
US49601        |~BADKEY~                                                
US50616        |~BADKEY~                                                
US52501        |~BADKEY~                                                
US55119        |~BADKEY~                                                
US57103        |~BADKEY~                                                
US57703        |~BADKEY~                                                
US60154        |~BADKEY~                                                
US60466        |~BADKEY~                                                
US64055        |~BADKEY~                                                
US64130        |~BADKEY~                                                
US67206        |~BADKEY~                                                
US70058        |~BADKEY~                                                
US70121        |~BADKEY~                                                
US70538        |~BADKEY~                                                
US70560        |~BADKEY~                                                
US71753        |~BADKEY~                                                
US72058        |~BADKEY~                                                
US74728        |~BADKEY~                                                
US77043        |~BADKEY~                                                
US78209        |~BADKEY~                                                
US78753        |~BADKEY~                                                
US85375        |~BADKEY~                                                
US85741        |~BADKEY~                                                
US90044        |~BADKEY~                                                
US90807        |~BADKEY~                                                
US91331        |~BADKEY~                                                
US92399        |~BADKEY~                                                
US92656        |~BADKEY~                                                
US93274        |~BADKEY~                                                
US95660        |~BADKEY~                                                
US95831        |~BADKEY~                                                
US02048        |~BADKEY~                                                
US06614        |~BADKEY~                                                
US07105        |~BADKEY~                                                
US08052        |~BADKEY~                                                
US10512        |~BADKEY~                                                
US11221LWS23   |~BADKEY~                                                
US114201TH11   |~BADKEY~                                                
US12308        |~BADKEY~                                                
US14618        |~BADKEY~                                                
US17901        |~BADKEY~                                                
US19107        |~BADKEY~                                                
US19803        |~BADKEY~                                                
US20001        |~BADKEY~                                                
US20708        |~BADKEY~                                                
US20874        |~BADKEY~                                                
US21742        |~BADKEY~                                                
US22406        |~BADKEY~                                                
US26508        |~BADKEY~                                                
US27295        |~BADKEY~                                                
US27591        |~BADKEY~                                                
US29575        |~BADKEY~                                                
US30534        |~BADKEY~                                                
US31088        |~BADKEY~                                                
US32055        |~BADKEY~                                                
US32696        |~BADKEY~                                                
US32909        |~BADKEY~                                                
US33040        |~BADKEY~                                                
US33177        |~BADKEY~                                                
US33311        |~BADKEY~                                                
US33914        |~BADKEY~                                                
US34223        |~BADKEY~                                                
US34266        |~BADKEY~                                                
US34275        |~BADKEY~                                                
US34691        |~BADKEY~                                                
US35022        |~BADKEY~                                                
US35634        |~BADKEY~                                                
US37086        |~BADKEY~                                                
US37415        |~BADKEY~                                                
US37642        |~BADKEY~                                                
US37801        |~BADKEY~                                                
US39428        |~BADKEY~                                                
US43326        |~BADKEY~                                                
US45102        |~BADKEY~                                                
US45426        |~BADKEY~                                                
US46011        |~BADKEY~                                                
US46038        |~BADKEY~                                                
US46322        |~BADKEY~                                                
US53546        |~BADKEY~                                                
US55112        |~BADKEY~                                                
US56303        |~BADKEY~                                                
US70668        |~BADKEY~                                                
US72116        |~BADKEY~                                                
US75654        |~BADKEY~                                                
US76306        |~BADKEY~                                                
US77088        |~BADKEY~                                                
US79029        |~BADKEY~                                                
US79107        |~BADKEY~                                                
US80127        |~BADKEY~                                                
US81101        |~BADKEY~                                                
US86409        |~BADKEY~                                                
US87031        |~BADKEY~                                                
US90275        |~BADKEY~                                                
US91202        |~BADKEY~                                                
US93940        |~BADKEY~                                                
US94015        |~BADKEY~                                                
US94603        |~BADKEY~                                                
US95336        |~BADKEY~                                                
US97055        |~BADKEY~                                                
US97302        |~BADKEY~                                                
US98273        |~BADKEY~                                                
US00000ATN     |~BADKEY~                                                
US07712        |~BADKEY~                                                
US08070        |~BADKEY~                                                
US10465        |~BADKEY~                                                
US14605        |~BADKEY~                                                
US18104        |~BADKEY~                                                
US19154        |~BADKEY~                                                
US19604        |~BADKEY~                                                
US20772        |~BADKEY~                                                
US23508        |~BADKEY~                                                
US24013        |~BADKEY~                                                
US27107        |~BADKEY~                                                
US29223        |~BADKEY~                                                
US30004        |~BADKEY~                                                
US30097        |~BADKEY~                                                
US31210        |~BADKEY~                                                
US33573        |~BADKEY~                                                
US33991        |~BADKEY~                                                
US34446        |~BADKEY~                                                
US35205        |~BADKEY~                                                
US36603        |~BADKEY~                                                
US37405        |~BADKEY~                                                
US39183        |~BADKEY~                                                
US39367        |~BADKEY~                                                
US39553        |~BADKEY~                                                
US40059        |~BADKEY~                                                
US40214        |~BADKEY~                                                
US43605        |~BADKEY~                                                
US47102        |~BADKEY~                                                
US48307        |~BADKEY~                                                
US53215        |~BADKEY~                                                
US54449        |~BADKEY~                                                
US54904        |~BADKEY~                                                
US60035        |~BADKEY~                                                
US63366        |~BADKEY~                                                
US64157        |~BADKEY~                                                
US65109        |~BADKEY~                                                
US66102        |~BADKEY~                                                
US68046        |~BADKEY~                                                
US68106        |~BADKEY~                                                
US71111        |~BADKEY~                                                
US71351        |~BADKEY~                                                
US72143        |~BADKEY~                                                
US72761        |~BADKEY~                                                
US73118        |~BADKEY~                                                
US73120        |~BADKEY~                                                
US73301        |~BADKEY~                                                
US74023        |~BADKEY~                                                
US74146        |~BADKEY~                                                
US77833        |~BADKEY~                                                
US80907        |~BADKEY~                                                
US85716        |~BADKEY~                                                
US89156        |~BADKEY~                                                
US90063        |~BADKEY~                                                
US92612        |~BADKEY~                                                
US94901        |~BADKEY~                                                
US95757        |~BADKEY~                                                
US00000QDM     |~BADKEY~                                                
US00745        |~BADKEY~                                                
US02474        |~BADKEY~                                                
US04276        |~BADKEY~                                                
US06002        |~BADKEY~                                                
US10990        |~BADKEY~                                                
US11763        |~BADKEY~                                                
US11953        |~BADKEY~                                                
US12208        |~BADKEY~                                                
US13760        |~BADKEY~                                                
US14613        |~BADKEY~                                                
US16506        |~BADKEY~                                                
US20784        |~BADKEY~                                                
US21403        |~BADKEY~                                                
US27265        |~BADKEY~                                                
US27522        |~BADKEY~                                                
US27597        |~BADKEY~                                                
US33020        |~BADKEY~                                                
US33185        |~BADKEY~                                                
US33440        |~BADKEY~                                                
US34119        |~BADKEY~                                                
US34448        |~BADKEY~                                                
US35117        |~BADKEY~                                                
US37323        |~BADKEY~                                                
US39576        |~BADKEY~                                                
US40906        |~BADKEY~                                                
US44054        |~BADKEY~                                                
US44203        |~BADKEY~                                                
US46530        |~BADKEY~                                                
US48225        |~BADKEY~                                                
US48383        |~BADKEY~                                                
US54880        |~BADKEY~                                                
US60084        |~BADKEY~                                                
US71115        |~BADKEY~                                                
US72019        |~BADKEY~                                                
US72802        |~BADKEY~                                                
US74145        |~BADKEY~                                                
US74873        |~BADKEY~                                                
US75252        |~BADKEY~                                                
US77406        |~BADKEY~                                                
US77469        |~BADKEY~                                                
US78064        |~BADKEY~                                                
US78599        |~BADKEY~                                                
US79336        |~BADKEY~                                                
US79403        |~BADKEY~                                                
US79935        |~BADKEY~                                                
US80620        |~BADKEY~                                                
US85338        |~BADKEY~                                                
US88001        |~BADKEY~                                                
US90712        |~BADKEY~                                                
US91766        |~BADKEY~                                                
US92591        |~BADKEY~                                                
US92675        |~BADKEY~                                                
US94025        |~BADKEY~                                                
US94403        |~BADKEY~                                                
US95776        |~BADKEY~                                                
US97504        |~BADKEY~                                                
US98178        |~BADKEY~                                                
US99611        |~BADKEY~                                                
US000001ST93   |~BADKEY~                                                
US00000DBT     |~BADKEY~                                                
US00000HDY11   |~BADKEY~                                                
US01453        |~BADKEY~                                                
US02021        |~BADKEY~                                                
US08093        |~BADKEY~                                                
US08807        |~BADKEY~                                                
US10001        |~BADKEY~                                                
US11415        |~BADKEY~                                                
US13413        |~BADKEY~                                                
US15204        |~BADKEY~                                                
US15207        |~BADKEY~                                                
US19734        |~BADKEY~                                                
US21601        |~BADKEY~                                                
US23847        |~BADKEY~                                                
US28714        |~BADKEY~                                                
US29556        |~BADKEY~                                                
US29697        |~BADKEY~                                                
US29745        |~BADKEY~                                                
US32601        |~BADKEY~                                                
US32789        |~BADKEY~                                                
US33157        |~BADKEY~                                                
US33563        |~BADKEY~                                                
US33881        |~BADKEY~                                                
US33971        |~BADKEY~                                                
US35051        |~BADKEY~                                                
US36401        |~BADKEY~                                                
US36693        |~BADKEY~                                                
US37854        |~BADKEY~                                                
US38301        |~BADKEY~                                                
US38732        |~BADKEY~                                                
US39211        |~BADKEY~                                                
US42301        |~BADKEY~                                                
US42445        |~BADKEY~                                                
US43506        |~BADKEY~                                                
US43964        |~BADKEY~                                                
US44117        |~BADKEY~                                                
US44136        |~BADKEY~                                                
US46219        |~BADKEY~                                                
US46403        |~BADKEY~                                                
US49505        |~BADKEY~                                                
US54935        |~BADKEY~                                                
US60633        |~BADKEY~                                                
US63050        |~BADKEY~                                                
US63118        |~BADKEY~                                                
US65706        |~BADKEY~                                                
US68154        |~BADKEY~                                                
US68847        |~BADKEY~                                                
US70586        |~BADKEY~                                                
US75069        |~BADKEY~                                                
US77018        |~BADKEY~                                                
US77054        |~BADKEY~                                                
US77085        |~BADKEY~                                                
US77340        |~BADKEY~                                                
US79927        |~BADKEY~                                                
US80214        |~BADKEY~                                                
US85007        |~BADKEY~                                                
US90280        |~BADKEY~                                                
US93221        |~BADKEY~                                                
US95125        |~BADKEY~                                                
US95492        |~BADKEY~                                                
US96080        |~BADKEY~                                                
US97520        |~BADKEY~                                                
US97601        |~BADKEY~                                                
US98031        |~BADKEY~                                                
US00650        |~BADKEY~                                                
US00659        |~BADKEY~                                                
US00917        |~BADKEY~                                                
US01824        |~BADKEY~                                                
US01835        |~BADKEY~                                                
US02790        |~BADKEY~                                                
US08201        |~BADKEY~                                                
US08536        |~BADKEY~                                                
US08724        |~BADKEY~                                                
US10013        |~BADKEY~                                                
US114341TH17   |~BADKEY~                                                
US11901        |~BADKEY~                                                
US18944        |~BADKEY~                                                
US18969        |~BADKEY~                                                
US21236        |~BADKEY~                                                
US21921        |~BADKEY~                                                
US22153        |~BADKEY~                                                
US22657        |~BADKEY~                                                
US23602        |~BADKEY~                                                
US28170        |~BADKEY~                                                
US29306        |~BADKEY~                                                
US30126        |~BADKEY~                                                
US30233        |~BADKEY~                                                
US33433        |~BADKEY~                                                
US35180        |~BADKEY~                                                
US35244        |~BADKEY~                                                
US39601        |~BADKEY~                                                
US40245        |~BADKEY~                                                
US41018        |~BADKEY~                                                
US41051        |~BADKEY~                                                
US41230        |~BADKEY~                                                
US43055        |~BADKEY~                                                
US44011        |~BADKEY~                                                
US45067        |~BADKEY~                                                
US45103        |~BADKEY~                                                
US48059        |~BADKEY~                                                
US55343        |~BADKEY~                                                
US60409        |~BADKEY~                                                
US60467        |~BADKEY~                                                
US67601        |~BADKEY~                                                
US70403        |~BADKEY~                                                
US70454        |~BADKEY~                                                
US72117        |~BADKEY~                                                
US73162        |~BADKEY~                                                
US76179        |~BADKEY~                                                
US77038        |~BADKEY~                                                
US77372        |~BADKEY~                                                
US77479        |~BADKEY~                                                
US78368        |~BADKEY~                                                
US78660        |~BADKEY~                                                
US79703        |~BADKEY~                                                
US84118        |~BADKEY~                                                
US85282        |~BADKEY~                                                
US90404        |~BADKEY~                                                
US91702        |~BADKEY~                                                
US92504        |~BADKEY~                                                
US93726        |~BADKEY~                                                
US95215        |~BADKEY~                                                
US95673        |~BADKEY~                                                
US97233        |~BADKEY~                                                
US00000DR 1    |~BADKEY~                                                
US00000NMQ     |~BADKEY~                                                
US05478        |~BADKEY~                                                
US06120        |~BADKEY~                                                
US07032        |~BADKEY~                                                
US07305        |~BADKEY~                                                
US07504        |~BADKEY~                                                
US07860        |~BADKEY~                                                
US10462UNP15   |~BADKEY~                                                
US11412        |~BADKEY~                                                
US11501        |~BADKEY~                                                
US13088        |~BADKEY~                                                
US14052        |~BADKEY~                                                
US14608        |~BADKEY~                                                
US19933        |~BADKEY~                                                
US20705        |~BADKEY~                                                
US20852        |~BADKEY~                                                
US26241        |~BADKEY~                                                
US27517        |~BADKEY~                                                
US28211        |~BADKEY~                                                
US28387        |~BADKEY~                                                
US29010        |~BADKEY~                                                
US29036        |~BADKEY~                                                
US29577        |~BADKEY~                                                
US30068        |~BADKEY~                                                
US31548        |~BADKEY~                                                
US32129        |~BADKEY~                                                
US32922        |~BADKEY~                                                
US33062        |~BADKEY~                                                
US33542        |~BADKEY~                                                
US33607        |~BADKEY~                                                
US34135        |~BADKEY~                                                
US35570        |~BADKEY~                                                
US35962        |~BADKEY~                                                
US36104        |~BADKEY~                                                
US39443        |~BADKEY~                                                
US43062        |~BADKEY~                                                
US43950        |~BADKEY~                                                
US46250        |~BADKEY~                                                
US47909        |~BADKEY~                                                
US48193        |~BADKEY~                                                
US48312        |~BADKEY~                                                
US52317        |~BADKEY~                                                
US57110        |~BADKEY~                                                
US60585        |~BADKEY~                                                
US60614        |~BADKEY~                                                
US62035        |~BADKEY~                                                
US64056        |~BADKEY~                                                
US66048        |~BADKEY~                                                
US66101        |~BADKEY~                                                
US70512        |~BADKEY~                                                
US71055        |~BADKEY~                                                
US71457        |~BADKEY~                                                
US74745        |~BADKEY~                                                
US75951        |~BADKEY~                                                
US75956        |~BADKEY~                                                
US76401        |~BADKEY~                                                
US77073        |~BADKEY~                                                
US77807        |~BADKEY~                                                
US79720        |~BADKEY~                                                
US80128        |~BADKEY~                                                
US80202        |~BADKEY~                                                
US81001        |~BADKEY~                                                
US85210        |~BADKEY~                                                
US85730        |~BADKEY~                                                
US89107        |~BADKEY~                                                
US89509        |~BADKEY~                                                
US90019        |~BADKEY~                                                
US91762        |~BADKEY~                                                
US91913        |~BADKEY~                                                
US92316        |~BADKEY~                                                
US92867        |~BADKEY~                                                
US95973        |~BADKEY~                                                
US97045        |~BADKEY~                                                
US00924        |~BADKEY~                                                
US02720        |~BADKEY~                                                
US06611        |~BADKEY~                                                
US10036        |~BADKEY~                                                
US11209        |~BADKEY~                                                
US14227        |~BADKEY~                                                
US18353        |~BADKEY~                                                
US22903        |~BADKEY~                                                
US23112        |~BADKEY~                                                
US27524        |~BADKEY~                                                
US28205        |~BADKEY~                                                
US28277        |~BADKEY~                                                
US28306        |~BADKEY~                                                
US30157        |~BADKEY~                                                
US32256        |~BADKEY~                                                
US32427        |~BADKEY~                                                
US35673        |~BADKEY~                                                
US37221        |~BADKEY~                                                
US43764        |~BADKEY~                                                
US45410        |~BADKEY~                                                
US46235        |~BADKEY~                                                
US48638        |~BADKEY~                                                
US49036        |~BADKEY~                                                
US51103        |~BADKEY~                                                
US53703        |~BADKEY~                                                
US54650        |~BADKEY~                                                
US55110        |~BADKEY~                                                
US60103        |~BADKEY~                                                
US60194        |~BADKEY~                                                
US60506        |~BADKEY~                                                
US60545        |~BADKEY~                                                
US60604        |~BADKEY~                                                
US61455        |~BADKEY~                                                
US70461        |~BADKEY~                                                
US73044        |~BADKEY~                                                
US75088        |~BADKEY~                                                
US75243        |~BADKEY~                                                
US75701        |~BADKEY~                                                
US78212        |~BADKEY~                                                
US78214        |~BADKEY~                                                
US78723        |~BADKEY~                                                
US80211        |~BADKEY~                                                
US80401        |~BADKEY~                                                
US89406        |~BADKEY~                                                
US90043        |~BADKEY~                                                
US90047        |~BADKEY~                                                
US90710        |~BADKEY~                                                
US91755        |~BADKEY~                                                
US92020        |~BADKEY~                                                
US94085        |~BADKEY~                                                
US94523        |~BADKEY~                                                
US94804        |~BADKEY~                                                
US95219        |~BADKEY~                                                
US96813        |~BADKEY~                                                
US98003        |~BADKEY~                                                
US     1ST     |~BADKEY~                                                
US00000EL 12   |~BADKEY~                                                
US00000PR 28   |~BADKEY~                                                
US00000PRS     |~BADKEY~                                                
US00000QBS     |~BADKEY~                                                
US02171        |~BADKEY~                                                
US11421        |~BADKEY~                                                
US11552        |~BADKEY~                                                
US12306        |~BADKEY~                                                
US19087        |~BADKEY~                                                
US19938        |~BADKEY~                                                
US20018        |~BADKEY~                                                
US20876        |~BADKEY~                                                
US21085        |~BADKEY~                                                
US22043        |~BADKEY~                                                
US22701        |~BADKEY~                                                
US28081        |~BADKEY~                                                
US28570        |~BADKEY~                                                
US30035        |~BADKEY~                                                
US30064        |~BADKEY~                                                
US32958        |~BADKEY~                                                
US33312        |~BADKEY~                                                
US33708        |~BADKEY~                                                
US34120        |~BADKEY~                                                
US35004        |~BADKEY~                                                
US35650        |~BADKEY~                                                
US36345        |~BADKEY~                                                
US37128        |~BADKEY~                                                
US37217        |~BADKEY~                                                
US38663        |~BADKEY~                                                
US39470        |~BADKEY~                                                
US39507        |~BADKEY~                                                
US44012        |~BADKEY~                                                
US44432        |~BADKEY~                                                
US45030        |~BADKEY~                                                
US45211        |~BADKEY~                                                
US45504        |~BADKEY~                                                
US46342        |~BADKEY~                                                
US48215        |~BADKEY~                                                
US48226        |~BADKEY~                                                
US48458        |~BADKEY~                                                
US48906        |~BADKEY~                                                
US52641        |~BADKEY~                                                
US59802        |~BADKEY~                                                
US60099        |~BADKEY~                                                
US60191        |~BADKEY~                                                
US63130        |~BADKEY~                                                
US64111        |~BADKEY~                                                
US64131        |~BADKEY~                                                
US68107        |~BADKEY~                                                
US74063        |~BADKEY~                                                
US75206        |~BADKEY~                                                
US77586        |~BADKEY~                                                
US80925        |~BADKEY~                                                
US83440        |~BADKEY~                                                
US84790        |~BADKEY~                                                
US85714        |~BADKEY~                                                
US91016        |~BADKEY~                                                
US91776        |~BADKEY~                                                
US92602        |~BADKEY~                                                
US95012        |~BADKEY~                                                
US00000MNM     |~BADKEY~                                                
US00000SPT28   |~BADKEY~                                                
US00000STR95   |~BADKEY~                                                
US00698        |~BADKEY~                                                
US00719        |~BADKEY~                                                
US02136        |~BADKEY~                                                
US07666        |~BADKEY~                                                
US08854        |~BADKEY~                                                
US10470        |~BADKEY~                                                
US11580        |~BADKEY~                                                
US11746        |~BADKEY~                                                
US19090        |~BADKEY~                                                
US22204        |~BADKEY~                                                
US27615        |~BADKEY~                                                
US28425        |~BADKEY~                                                
US29169        |~BADKEY~                                                
US29412        |~BADKEY~                                                
US30217        |~BADKEY~                                                
US30906        |~BADKEY~                                                
US32808        |~BADKEY~                                                
US33013        |~BADKEY~                                                
US33410        |~BADKEY~                                                
US33830        |~BADKEY~                                                
US37912        |~BADKEY~                                                
US38058        |~BADKEY~                                                
US38063        |~BADKEY~                                                
US39437        |~BADKEY~                                                
US40360        |~BADKEY~                                                
US44111        |~BADKEY~                                                
US45371        |~BADKEY~                                                
US47371        |~BADKEY~                                                
US48314        |~BADKEY~                                                
US48316        |~BADKEY~                                                
US53566        |~BADKEY~                                                
US55350        |~BADKEY~                                                
US60076        |~BADKEY~                                                
US60087        |~BADKEY~                                                
US60419        |~BADKEY~                                                
US60616        |~BADKEY~                                                
US660621TH16   |~BADKEY~                                                
