IT90047        |~BADKEY~                                                
IT10152        |~BADKEY~                                                
IT20127        |~BADKEY~                                                
IT25126        |~BADKEY~                                                
IT60122        |~BADKEY~                                                
IT10072        |~BADKEY~                                                
IT35020        |~BADKEY~                                                
IT59100        |~BADKEY~                                                
IT71042        |~BADKEY~                                                
IT83100        |~BADKEY~                                                
IT95024        |~BADKEY~                                                
IT10155        |~BADKEY~                                                
IT40141        |~BADKEY~                                                
IT81025        |~BADKEY~                                                
IT84010        |~BADKEY~                                                
IT92010        |~BADKEY~                                                
IT00055        |~BADKEY~                                                
IT09040        |~BADKEY~                                                
IT37069        |~BADKEY~                                                
IT63100        |~BADKEY~                                                
IT96011        |~BADKEY~                                                
IT10142        |~BADKEY~                                                
IT20097        |~BADKEY~                                                
IT35030        |~BADKEY~                                                
IT41012        |~BADKEY~                                                
IT66050        |~BADKEY~                                                
IT74020        |~BADKEY~                                                
IT00148        |~BADKEY~                                                
IT31033        |~BADKEY~                                                
IT40133        |~BADKEY~                                                
IT50100        |~BADKEY~                                                
IT10143        |~BADKEY~                                                
IT166          |~BADKEY~                                                
IT30121        |~BADKEY~                                                
IT50053        |~BADKEY~                                                
IT66100        |~BADKEY~                                                
IT90040        |~BADKEY~                                                
IT00159        |~BADKEY~                                                
IT15057        |~BADKEY~                                                
IT80040        |~BADKEY~                                                
IT9045         |~BADKEY~                                                
IT10136        |~BADKEY~                                                
IT20156        |~BADKEY~                                                
IT21040        |~BADKEY~                                                
IT25015        |~BADKEY~                                                
IT80010        |~BADKEY~                                                
IT90144        |~BADKEY~                                                
IT10060        |~BADKEY~                                                
IT10127        |~BADKEY~                                                
IT21100        |~BADKEY~                                                
IT80141        |~BADKEY~                                                
IT95047        |~BADKEY~                                                
IT10010        |~BADKEY~                                                
IT18100        |~BADKEY~                                                
IT93012        |~BADKEY~                                                
IT00195        |~BADKEY~                                                
IT16143        |~BADKEY~                                                
IT20024        |~BADKEY~                                                
IT20153        |~BADKEY~                                                
IT37131        |~BADKEY~                                                
IT44121        |~BADKEY~                                                
IT50136        |~BADKEY~                                                
IT74024        |~BADKEY~                                                
IT30122        |~BADKEY~                                                
IT48018        |~BADKEY~                                                
IT80100        |~BADKEY~                                                
IT89135        |~BADKEY~                                                
IT93100        |~BADKEY~                                                
IT00048        |~BADKEY~                                                
IT00138        |~BADKEY~                                                
IT31021        |~BADKEY~                                                
IT41126        |~BADKEY~                                                
IT70122        |~BADKEY~                                                
IT76125        |~BADKEY~                                                
IT00136        |~BADKEY~                                                
IT42122        |~BADKEY~                                                
IT47838        |~BADKEY~                                                
IT80014        |~BADKEY~                                                
IT80016        |~BADKEY~                                                
IT10153        |~BADKEY~                                                
IT20096        |~BADKEY~                                                
IT42123        |~BADKEY~                                                
IT43126        |~BADKEY~                                                
IT65010        |~BADKEY~                                                
IT20155        |~BADKEY~                                                
IT31020        |~BADKEY~                                                
IT20125        |~BADKEY~                                                
IT40121        |~BADKEY~                                                
IT67051        |~BADKEY~                                                
IT00043        |~BADKEY~                                                
IT04100        |~BADKEY~                                                
IT10123        |~BADKEY~                                                
IT16149        |~BADKEY~                                                
IT50121        |~BADKEY~                                                
IT24047        |~BADKEY~                                                
IT09010        |~BADKEY~                                                
IT20138        |~BADKEY~                                                
IT52100        |~BADKEY~                                                
IT66023        |~BADKEY~                                                
IT76123        |~BADKEY~                                                
IT91100        |~BADKEY~                                                
IT36100        |~BADKEY~                                                
IT38123        |~BADKEY~                                                
IT71121        |~BADKEY~                                                
IT72017        |~BADKEY~                                                
