DASREMONT	d'Aspremont
DE LORNE	de l'Orne
DHAVIXBECK	d'Havixbeck
DHENNUIN	d'Hennuin
DHERIC	d'Heric
DURCEREY	d'Urcerey
LAMITIÉ	l'Amitié
LARLEQUIN	l'Arlequin
LARMISTICE	l'Armistice
LARREYAOU	l'Arreyaou
LECOLE	l'École
LEGLISE	l'Église
LESPERANCE	l'Esperance
LEUROPE	l'Europe
LINSURRECTION	l'Insurrection
LORANGERIE	l'Orangerie
LUNION	l'Union
LÉGALITÉ	l'Égalité
LÉGLISE	l'Église
